"Data Source","World Development Indicators",

"Last Updated Date","2015-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0667705535889","29.6560802459717","29.0558605194092","26.6979694366455","26.7562808990479","26.3044109344482","31.6834697723389","30.903190612793","33.9261283874512","35.2404899597168","35.3623199462891","37.3517189025879","38.737621307373","37.7611312866211","","","",
"Andorra","AND","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","0.75747","0.91247","0.94307","1.08932","1.0201","1.07415","1.21528","1.34963","1.73548","1.86999","","","1.73378","","","","2.20878","1.75979","","","2.29743","","","","","","","","","","","","","1.27942001819611","1.29312002658844","","","","","3.91140007972717","","3.74394011497498","","","","",
"Angola","AGO","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.60693","0.59082","0.6181","0.62555","0.58608","","","","","","0.65358","0.595709979534149","","","0.863610029220581","3.19306993484497","2.39667010307312","2.96268010139465","2.89826989173889","","","","","7.49503993988037","","","","",
"Albania","ALB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","13.91802","14.67738","","","","","","5.54796","","","5.0959","","5.89267","6.50102","6.91294","7.03948","7.07632","7.41614","7.75277","7.88863","8.24736","8.48633","10.06516","9.49232","9.09173","9.79477","11.30863","12.03396","13.088529586792","13.7623195648193","14.0138301849365","14.7386798858643","15.812629699707","20.0049800872803","24.523250579834","28.7862701416016","31.7933807373047","32.3213081359863","33.106201171875","43.5615310668945","47.7427215576172","55.5009613037109","58.5298881530762","","",
"Arab World","ARB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","5.83382987976074","5.824049949646","6.10910987854004","6.47975015640259","6.88932991027832","7.43520021438599","8.08907985687256","8.73192977905273","9.17049980163574","9.21389007568359","9.54957962036133","10.1132202148438","10.4792003631592","10.6516895294189","10.9338397979736","10.9386301040649","11.2621803283691","11.3347301483154","11.4142398834229","11.0940504074097","11.1489200592041","10.8862495422363","11.5660600662231","12.5133600234985","13.1596803665161","14.0307703018188","15.041259765625","15.9523897171021","16.7374305725098","18.1132202148438","18.2491397857666","18.8858604431152","19.63330078125","19.5086708068848","20.6135292053223","21.6290092468262","22.1621704101563","22.8302803039551","23.5425491333008","24.2240791320801","24.9440593719482","24.6085605621338","25.9841194152832","27.4598808288574","","",
"United Arab Emirates","ARE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","0.6036","1.06778","1.60131","2.98705","3.48578","4.47213","5.85524","7.02927","8.25719","8.43519","8.05427","6.55557","6.55534","7.20616","6.458","6.12827","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","13.39736","15.34446","16.39728","19.41104","22.43832","26.58357","26.73917","23.87453","21.29415","22.2412","21.83735","23.25911","24.01451","25.03296","28.88558","35.71831","37.61378","39.41441","","","","38.38254","","","36.85111","","","","46.01428","47.8829193115234","53.070499420166","58.2767181396484","62.2298583984375","64.8600463867188","65.3583679199219","63.9848098754883","67.0905685424805","66.7280426025391","68.686897277832","71.2509384155273","74.8296585083008","78.626106262207","80.3078079223633","","","",
"Armenia","ARM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5669","","18.79902","20.45327","23.24662","25.42109","25.40696","23.06499","19.11834","19.01829","16.8175","22.47459","33.10497","34.6208992004395","34.856559753418","32.8143501281738","35.2394104003906","36.2065200805664","36.8010292053223","38.369140625","41.7650184631348","44.3221282958984","46.5805816650391","49.1195487976074","50.6244697570801","51.0014190673828","46.0435905456543","46.1086196899414","","",
"American Samoa","ASM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
