Country Name,Country Code,Indicator Name,Indicator Code,Year,education_enrollment
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1999,28.06677055
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2000,29.65608025
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2001,29.05586052
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2002,26.69796944
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2003,26.7562809
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2004,26.30441093
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2005,31.68346977
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2006,30.90319061
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2007,33.92612839
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2008,35.24048996
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2009,35.36231995
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2010,37.3517189
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2011,38.73762131
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2012,37.76113129
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1970,0.75747
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1971,0.91247
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1972,0.94307
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1973,1.08932
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1974,1.0201
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1975,1.07415
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1976,1.21528
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1977,1.34963
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1978,1.73548
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1979,1.86999
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1982,1.73378
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1986,2.20878
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1987,1.75979
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1990,2.29743
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2003,1.279420018
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2004,1.293120027
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2009,3.91140008
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2011,3.743940115
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1988,0.60693
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1989,0.59082
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1990,0.6181
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1991,0.62555
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1992,0.58608
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1998,0.65358
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1999,0.59570998
