Code,Geography,Year,unemploymentrate
CNAH,China: Anhui,1996,3.1
CNAH,China: Anhui,1997,2.9
CNAH,China: Anhui,1998,3.2
CNAH,China: Anhui,1999,3.2
CNAH,China: Anhui,2000,3.3
CNAH,China: Anhui,2001,3.7
CNAH,China: Anhui,2002,4.0
CNAH,China: Anhui,2003,4.1
CNAH,China: Anhui,2004,4.2
CNAH,China: Anhui,2005,4.4
CNAH,China: Anhui,2006,4.2
CNAH,China: Anhui,2007,4.06
CNAH,China: Anhui,2008,3.92
CNAH,China: Anhui,2009,3.9
CNAH,China: Anhui,2010,3.7
CNAH,China: Anhui,2011,3.74
CNAH,China: Anhui,2012,3.7
CNAH,China: Anhui,2013,3.41
CNAH,China: Anhui,2014,3.89
CNAH,China: Anhui,2015,3.9
CNAH,China: Anhui,2016,3.88
CNAH,China: Anhui,2017,3.87
CNAH,China: Anhui,2018,3.83
CNAH,China: Anhui,2019,3.97
CNAH,China: Anhui,2020,–
CNBJ,China: Beijing,1996,0.58
CNBJ,China: Beijing,1997,0.73
CNBJ,China: Beijing,1998,0.66
CNBJ,China: Beijing,1999,0.62
CNBJ,China: Beijing,2000,0.75
CNBJ,China: Beijing,2001,1.2
CNBJ,China: Beijing,2002,1.4
CNBJ,China: Beijing,2003,1.4
CNBJ,China: Beijing,2004,1.3
CNBJ,China: Beijing,2005,2.11
CNBJ,China: Beijing,2006,2.0
CNBJ,China: Beijing,2007,1.84
CNBJ,China: Beijing,2008,1.82
CNBJ,China: Beijing,2009,1.4
CNBJ,China: Beijing,2010,1.37
CNBJ,China: Beijing,2011,1.39
CNBJ,China: Beijing,2012,1.27
CNBJ,China: Beijing,2013,1.21
CNBJ,China: Beijing,2014,1.2
CNBJ,China: Beijing,2015,1.23
CNBJ,China: Beijing,2016,1.15
CNBJ,China: Beijing,2017,1.16
CNBJ,China: Beijing,2018,0.98
CNBJ,China: Beijing,2019,0.86
CNBJ,China: Beijing,2020,–
CNCQ,China: Chongqing,1996,3.0
CNCQ,China: Chongqing,1997,3.5
CNCQ,China: Chongqing,1998,3.5
CNCQ,China: Chongqing,1999,3.5
CNCQ,China: Chongqing,2000,3.5
CNCQ,China: Chongqing,2001,3.9
CNCQ,China: Chongqing,2002,4.1
CNCQ,China: Chongqing,2003,4.1
CNCQ,China: Chongqing,2004,4.1
CNCQ,China: Chongqing,2005,4.12
CNCQ,China: Chongqing,2006,4.0
CNCQ,China: Chongqing,2007,3.98
CNCQ,China: Chongqing,2008,3.96
CNCQ,China: Chongqing,2009,3.96
CNCQ,China: Chongqing,2010,3.9
CNCQ,China: Chongqing,2011,3.5
CNCQ,China: Chongqing,2012,3.3
CNCQ,China: Chongqing,2013,3.4
CNCQ,China: Chongqing,2014,3.5
CNCQ,China: Chongqing,2015,3.74
CNCQ,China: Chongqing,2016,3.23
CNCQ,China: Chongqing,2017,3.21
CNCQ,China: Chongqing,2018,3.18
CNCQ,China: Chongqing,2019,3.26
CNCQ,China: Chongqing,2020,–
CNFJ,China: Fujian,1996,1.9
CNFJ,China: Fujian,1997,1.9
CNFJ,China: Fujian,1998,2.1
CNFJ,China: Fujian,1999,2.3
CNFJ,China: Fujian,2000,2.6
CNFJ,China: Fujian,2001,3.8
CNFJ,China: Fujian,2002,4.2
CNFJ,China: Fujian,2003,4.1
CNFJ,China: Fujian,2004,4.0
CNFJ,China: Fujian,2005,3.95
CNFJ,China: Fujian,2006,3.93
CNFJ,China: Fujian,2007,3.89
CNFJ,China: Fujian,2008,3.86
CNFJ,China: Fujian,2009,3.9
CNFJ,China: Fujian,2010,3.77
CNFJ,China: Fujian,2011,3.69
CNFJ,China: Fujian,2012,3.63
CNFJ,China: Fujian,2013,3.55
CNFJ,China: Fujian,2014,3.38
CNFJ,China: Fujian,2015,3.33
CNFJ,China: Fujian,2016,3.41
CNFJ,China: Fujian,2017,3.44
CNFJ,China: Fujian,2018,3.56
CNFJ,China: Fujian,2019,3.36
CNFJ,China: Fujian,2020,–
CNGS,China: Gansu,1996,3.3
CNGS,China: Gansu,1997,3.2
CNGS,China: Gansu,1998,3.32
CNGS,China: Gansu,1999,2.7
CNGS,China: Gansu,2000,2.7
CNGS,China: Gansu,2001,2.8
CNGS,China: Gansu,2002,3.2
CNGS,China: Gansu,2003,3.4
CNGS,China: Gansu,2004,3.4
CNGS,China: Gansu,2005,3.26
CNGS,China: Gansu,2006,3.63
CNGS,China: Gansu,2007,3.34
CNGS,China: Gansu,2008,3.2
CNGS,China: Gansu,2009,3.25
CNGS,China: Gansu,2010,3.21
CNGS,China: Gansu,2011,3.11
CNGS,China: Gansu,2012,2.68
CNGS,China: Gansu,2013,2.3
CNGS,China: Gansu,2014,2.31
CNGS,China: Gansu,2015,3.3
CNGS,China: Gansu,2016,3.56
CNGS,China: Gansu,2017,3.51
CNGS,China: Gansu,2018,3.23
CNGS,China: Gansu,2019,3.33
CNGS,China: Gansu,2020,–
CNGD,China: Guangdong,1996,2.3
CNGD,China: Guangdong,1997,2.2
CNGD,China: Guangdong,1998,2.3
CNGD,China: Guangdong,1999,2.5
CNGD,China: Guangdong,2000,2.5
CNGD,China: Guangdong,2001,2.9
CNGD,China: Guangdong,2002,3.1
CNGD,China: Guangdong,2003,2.9
CNGD,China: Guangdong,2004,2.7
CNGD,China: Guangdong,2005,2.58
CNGD,China: Guangdong,2006,2.6
CNGD,China: Guangdong,2007,2.51
CNGD,China: Guangdong,2008,2.56
CNGD,China: Guangdong,2009,2.6
CNGD,China: Guangdong,2010,2.5
CNGD,China: Guangdong,2011,2.46
CNGD,China: Guangdong,2012,2.5
CNGD,China: Guangdong,2013,2.4
CNGD,China: Guangdong,2014,2.55
CNGD,China: Guangdong,2015,2.6
CNGD,China: Guangdong,2016,2.55
CNGD,China: Guangdong,2017,2.54
CNGD,China: Guangdong,2018,2.45
CNGD,China: Guangdong,2019,2.48
CNGD,China: Guangdong,2020,–
CNGX,China: Guangxi,1996,2.5
CNGX,China: Guangxi,1997,6.3
CNGX,China: Guangxi,1998,3.2
CNGX,China: Guangxi,1999,3.3
CNGX,China: Guangxi,2000,3.2
CNGX,China: Guangxi,2001,3.5
CNGX,China: Guangxi,2002,3.7
CNGX,China: Guangxi,2003,3.6
CNGX,China: Guangxi,2004,4.1
CNGX,China: Guangxi,2005,4.15
CNGX,China: Guangxi,2006,4.1
CNGX,China: Guangxi,2007,3.79
CNGX,China: Guangxi,2008,3.75
CNGX,China: Guangxi,2009,3.74
CNGX,China: Guangxi,2010,3.66
CNGX,China: Guangxi,2011,3.46
CNGX,China: Guangxi,2012,3.41
CNGX,China: Guangxi,2013,3.3
CNGX,China: Guangxi,2014,3.74
CNGX,China: Guangxi,2015,3.51
CNGX,China: Guangxi,2016,3.42
CNGX,China: Guangxi,2017,3.34
CNGX,China: Guangxi,2018,3.23
CNGX,China: Guangxi,2019,3.47
CNGX,China: Guangxi,2020,–
CNGZ,China: Guizhou,1996,3.3
CNGZ,China: Guizhou,1997,3.6
CNGZ,China: Guizhou,1998,3.8
CNGZ,China: Guizhou,1999,4.0
CNGZ,China: Guizhou,2000,3.8
CNGZ,China: Guizhou,2001,4.0
CNGZ,China: Guizhou,2002,4.1
CNGZ,China: Guizhou,2003,4.0
CNGZ,China: Guizhou,2004,4.1
CNGZ,China: Guizhou,2005,4.2
CNGZ,China: Guizhou,2006,4.1
CNGZ,China: Guizhou,2007,3.97
CNGZ,China: Guizhou,2008,3.98
CNGZ,China: Guizhou,2009,3.8
CNGZ,China: Guizhou,2010,3.63
CNGZ,China: Guizhou,2011,3.63
CNGZ,China: Guizhou,2012,3.29
CNGZ,China: Guizhou,2013,3.26
CNGZ,China: Guizhou,2014,3.89
CNGZ,China: Guizhou,2015,3.7
CNGZ,China: Guizhou,2016,3.63
CNGZ,China: Guizhou,2017,3.8
CNGZ,China: Guizhou,2018,3.62
CNGZ,China: Guizhou,2019,3.65
CNGZ,China: Guizhou,2020,–
CNHI,China: Hainan,1996,3.1
CNHI,China: Hainan,1997,3.4
CNHI,China: Hainan,1998,3.4
CNHI,China: Hainan,1999,3.2
CNHI,China: Hainan,2000,3.3
CNHI,China: Hainan,2001,3.4
CNHI,China: Hainan,2002,3.1
CNHI,China: Hainan,2003,3.4
CNHI,China: Hainan,2004,3.4
CNHI,China: Hainan,2005,3.55
CNHI,China: Hainan,2006,3.6
CNHI,China: Hainan,2007,3.49
CNHI,China: Hainan,2008,3.72
CNHI,China: Hainan,2009,3.5
CNHI,China: Hainan,2010,3.0
CNHI,China: Hainan,2011,1.73
CNHI,China: Hainan,2012,1.938
CNHI,China: Hainan,2013,2.17
CNHI,China: Hainan,2014,2.25
CNHI,China: Hainan,2015,2.38
CNHI,China: Hainan,2016,2.44
CNHI,China: Hainan,2017,2.44
CNHI,China: Hainan,2018,2.38
CNHI,China: Hainan,2019,2.33
CNHI,China: Hainan,2020,–
CNHE,China: Hebei,1996,2.4
CNHE,China: Hebei,1997,2.3
CNHE,China: Hebei,1998,2.3
CNHE,China: Hebei,1999,2.5
CNHE,China: Hebei,2000,2.8
CNHE,China: Hebei,2001,3.2
CNHE,China: Hebei,2002,3.6
CNHE,China: Hebei,2003,3.9
CNHE,China: Hebei,2004,4.0
CNHE,China: Hebei,2005,3.93
CNHE,China: Hebei,2006,3.8
CNHE,China: Hebei,2007,3.83
CNHE,China: Hebei,2008,3.96
CNHE,China: Hebei,2009,3.9
CNHE,China: Hebei,2010,3.9
CNHE,China: Hebei,2011,3.75
CNHE,China: Hebei,2012,3.715
CNHE,China: Hebei,2013,3.68
CNHE,China: Hebei,2014,3.59
CNHE,China: Hebei,2015,3.86
CNHE,China: Hebei,2016,3.65
CNHE,China: Hebei,2017,3.64
CNHE,China: Hebei,2018,3.64
CNHE,China: Hebei,2019,3.64
CNHE,China: Hebei,2020,–
CNHL,China: Heilongjiang,1996,2.698
CNHL,China: Heilongjiang,1997,2.8
CNHL,China: Heilongjiang,1998,3.0
CNHL,China: Heilongjiang,1999,2.5
CNHL,China: Heilongjiang,2000,3.3
CNHL,China: Heilongjiang,2001,4.7
CNHL,China: Heilongjiang,2002,4.9
CNHL,China: Heilongjiang,2003,4.2
CNHL,China: Heilongjiang,2004,4.5
CNHL,China: Heilongjiang,2005,4.42
CNHL,China: Heilongjiang,2006,4.4
CNHL,China: Heilongjiang,2007,4.3
CNHL,China: Heilongjiang,2008,4.23
CNHL,China: Heilongjiang,2009,4.27
CNHL,China: Heilongjiang,2010,4.27
CNHL,China: Heilongjiang,2011,4.1
CNHL,China: Heilongjiang,2012,4.15
CNHL,China: Heilongjiang,2013,4.44
CNHL,China: Heilongjiang,2014,4.59
CNHL,China: Heilongjiang,2015,4.4
CNHL,China: Heilongjiang,2016,4.36
CNHL,China: Heilongjiang,2017,4.23
CNHL,China: Heilongjiang,2018,4.11
CNHL,China: Heilongjiang,2019,3.84
CNHL,China: Heilongjiang,2020,–
CNHA,China: Henan,1996,2.1
CNHA,China: Henan,1997,2.0
CNHA,China: Henan,1998,2.6
CNHA,China: Henan,1999,2.6
CNHA,China: Henan,2000,2.6
CNHA,China: Henan,2001,2.8
CNHA,China: Henan,2002,2.9
CNHA,China: Henan,2003,3.1
CNHA,China: Henan,2004,3.4
CNHA,China: Henan,2005,3.45
CNHA,China: Henan,2006,3.5
CNHA,China: Henan,2007,3.41
CNHA,China: Henan,2008,3.4
CNHA,China: Henan,2009,3.5
CNHA,China: Henan,2010,3.4
CNHA,China: Henan,2011,3.35
CNHA,China: Henan,2012,3.1
CNHA,China: Henan,2013,3.09
CNHA,China: Henan,2014,3.58
CNHA,China: Henan,2015,3.34
CNHA,China: Henan,2016,3.09
CNHA,China: Henan,2017,2.97
CNHA,China: Henan,2018,3.01
CNHA,China: Henan,2019,2.96
CNHA,China: Henan,2020,–
CNHB,China: Hubei,1996,3.5
CNHB,China: Hubei,1997,3.5
CNHB,China: Hubei,1998,3.3
CNHB,China: Hubei,1999,3.3
CNHB,China: Hubei,2000,3.5
CNHB,China: Hubei,2001,4.0
CNHB,China: Hubei,2002,4.3
CNHB,China: Hubei,2003,4.3
CNHB,China: Hubei,2004,4.2
CNHB,China: Hubei,2005,4.33
CNHB,China: Hubei,2006,4.22
CNHB,China: Hubei,2007,4.21
CNHB,China: Hubei,2008,4.2
CNHB,China: Hubei,2009,4.21
CNHB,China: Hubei,2010,4.18
CNHB,China: Hubei,2011,4.1
CNHB,China: Hubei,2012,3.83
CNHB,China: Hubei,2013,3.49
CNHB,China: Hubei,2014,3.72
CNHB,China: Hubei,2015,3.82
CNHB,China: Hubei,2016,3.92
CNHB,China: Hubei,2017,4.15
CNHB,China: Hubei,2018,4.23
CNHB,China: Hubei,2019,4.06
CNHB,China: Hubei,2020,–
CNHN,China: Hunan,1996,3.9
CNHN,China: Hunan,1997,3.9
CNHN,China: Hunan,1998,3.9
CNHN,China: Hunan,1999,3.9
CNHN,China: Hunan,2000,3.7
CNHN,China: Hunan,2001,4.0
CNHN,China: Hunan,2002,4.0
CNHN,China: Hunan,2003,3.8
CNHN,China: Hunan,2004,4.4
CNHN,China: Hunan,2005,4.27
CNHN,China: Hunan,2006,4.3
CNHN,China: Hunan,2007,4.25
CNHN,China: Hunan,2008,4.2
CNHN,China: Hunan,2009,4.1
CNHN,China: Hunan,2010,4.2
CNHN,China: Hunan,2011,4.21
CNHN,China: Hunan,2012,4.205
CNHN,China: Hunan,2013,4.2
CNHN,China: Hunan,2014,4.12
CNHN,China: Hunan,2015,3.81
CNHN,China: Hunan,2016,3.71
CNHN,China: Hunan,2017,3.76
CNHN,China: Hunan,2018,3.65
CNHN,China: Hunan,2019,3.54
CNHN,China: Hunan,2020,–
CNNM,China: Inner Mongolia,1996,3.47
CNNM,China: Inner Mongolia,1997,3.4
CNNM,China: Inner Mongolia,1998,3.13
CNNM,China: Inner Mongolia,1999,3.1
CNNM,China: Inner Mongolia,2000,3.34
CNNM,China: Inner Mongolia,2001,3.7
